date,cases,active,death
2020-03-02,2,0
2020-03-03,4,0
2020-03-04,6,0
2020-03-05,9,0
2020-03-06,13,0
2020-03-07,21,0
2020-03-08,30,0
2020-03-09,39,0
2020-03-10,41,0
2020-03-11,61,0
2020-03-12,78,0
2020-03-13,112,0
2020-03-14,169,0
2020-03-15,245,0
2020-03-16,331,0
2020-03-17,448,0
2020-03-18,642,0
2020-03-19,786,0
2020-03-20,1020,0
2020-03-21,1280,0
2020-03-22,1600,0
2020-03-23,2060,0
2020-03-24,2362,0
2020-03-25,2995,0
2020-03-26,3544,0
2020-03-27,4268,0
2020-03-28,5170,0
2020-03-29,5962,0
2020-03-30,6408,6225
2020-03-31,7443,7240
2020-04-01,8251,8021
2020-04-02,9034,8757
2020-04-03,9886,9572
2020-04-04,10524,10183
2020-04-05,11278,10908
2020-04-06,11730,11279
2020-04-07,12442,11913
2020-04-08,13141,12565
2020-04-09,13956,13342
2020-04-10,15472,14804
2020-04-11,15987,15251
2020-04-12,16585,15804
2020-04-13,16934,16122
2020-04-14,17448,16534
2020-04-15,18091,17109,599.0
2020-04-16,18841,17719,629.0
2020-04-17,19022,17846,657.0
2020-04-18,19685,18388,687.0
2020-04-19,20206,18882,714.0
2020-04-20,20863,19518,735.0
2020-04-21,21379,19700,762.0
2020-04-22,21982,20054,785.0
2020-04-23,22353,20332,820.0
2020-04-24,22797,20715,854.0
2020-04-25,23392,21235,880.0
2020-04-26,23864,21632,903.0
2020-04-27,24027,21742,928.0
2020-04-28,24322,21985,948.0
2020-04-29,24505,22062,973.0
2020-04-30,25045,22537,989.0
2020-05-01,25351,22697,1007.0
