ActiveCases,Country,Deathsper1Mpop,NewCases,NewDeaths,"Serious,Critical",Testsper1Mpop,TotalCases,TotalDeaths,TotalRecovered,TotalTests,TotCasesper1Mpop
987685,World,9.6,1562.0,126.0,47396.0,,1347566,74780.0,285101.0,,173.0
987685,European Union,9.6,1562.0,126.0,47396.0,7185.14611304862,578722,46122.0,285101.0,,173.0
336878,USA,33.0,625.0,70.0,8983.0,5794.0,367629,10941.0,19810.0,1917848.0,1111.0
82897,Spain,285.0,,,6931.0,7593.0,136675,13341.0,40437.0,355000.0,2923.0
93187,Italy,273.0,,,3898.0,11937.0,132547,16523.0,22837.0,721732.0,2192.0
65484,Germany,22.0,,,4895.0,10962.0,103375,1810.0,36081.0,918460.0,1234.0
71849,France,137.0,,,7072.0,3436.0,98010,8911.0,17250.0,224254.0,1502.0
32525,Iran,45.0,,,4083.0,2214.0,60500,3739.0,24236.0,186000.0,720.0
46100,UK,79.0,,,1559.0,3726.0,51608,5373.0,135.0,252958.0,760.0
28242,Turkey,8.0,,,1415.0,2405.0,30217,649.0,1326.0,202845.0,358.0
12836,Switzerland,88.0,,,391.0,18776.0,21657,765.0,8056.0,162500.0,2502.0
15196,Belgium,141.0,,,1257.0,6040.0,20814,1632.0,3986.0,70000.0,1796.0
16686,Netherlands,109.0,,,1409.0,5053.0,18803,1867.0,250.0,86589.0,1097.0
12728,Canada,9.0,,,426.0,8767.0,16667,323.0,3616.0,330901.0,442.0
8614,Austria,24.0,,,250.0,12357.0,12297,220.0,3463.0,111296.0,1365.0
11539,Brazil,3.0,49.0,2.0,296.0,258.0,12232,566.0,127.0,54824.0,58.0
11279,Portugal,31.0,,,270.0,10788.0,11730,311.0,140.0,110000.0,1150.0
3445,S. Korea,4.0,47.0,6.0,55.0,8996.0,10331,192.0,6694.0,461233.0,202.0
8262,Israel,7.0,,,140.0,12677.0,8904,57.0,585.0,109724.0,1029.0
6524,Sweden,47.0,,,590.0,3654.0,7206,477.0,205.0,36900.0,714.0
5890,Russia,0.3,,,8.0,5194.0,6343,47.0,406.0,758000.0,43.0
4769,Australia,2.0,,1.0,96.0,11903.0,5895,46.0,1080.0,303536.0,231.0
5757,Norway,14.0,,,83.0,20530.0,5865,76.0,32.0,111299.0,1082.0
5165,Ireland,35.0,,,165.0,6119.0,5364,174.0,25.0,30213.0,1086.0
4623,Czechia,7.0,,,84.0,7939.0,4822,78.0,121.0,85014.0,450.0
4050,Chile,2.0,,,327.0,2870.0,4815,37.0,728.0,54864.0,252.0
4260,India,0.1,,,,102.0,4778,136.0,382.0,140293.0,3.0
3116,Denmark,32.0,,,144.0,9139.0,4681,187.0,1378.0,52936.0,808.0
