ActiveCases,Country,Deathsper1Mpop,NewCases,NewDeaths,Reported1st case,"Serious,Critical",TotalCases,TotalDeaths,TotalRecovered,TotCasesper1Mpop
177286,USA,12.0,62.0,2.0,Jan 20 ,4576.0,188592,4055.0,7251.0,570.0
77635,Italy,206.0,,,Jan 29 ,4023.0,105792,12428.0,15729.0,1750.0
68200,Spain,181.0,,,Jan 30 ,5607.0,95923,8464.0,19259.0,2052.0
54933,Germany,9.0,,,Jan 26 ,2675.0,71808,775.0,16100.0,857.0
39161,France,54.0,,,Jan 23 ,5565.0,52128,3523.0,9444.0,799.0
27051,Iran,35.0,,,Feb 18 ,3703.0,44605,2898.0,14656.0,531.0
23226,UK,26.0,,,Jan 30 ,163.0,25150,1789.0,135.0,370.0
14349,Switzerland,50.0,,,Feb 24 ,301.0,16605,433.0,1823.0,1919.0
13074,Turkey,3.0,,,Mar 09 ,622.0,13531,214.0,243.0,160.0
10374,Belgium,61.0,,,Feb 03 ,1021.0,12775,705.0,1696.0,1102.0
11306,Netherlands,61.0,,,Feb 26 ,1053.0,12595,1039.0,250.0,735.0
8969,Austria,14.0,12.0,,Feb 24 ,198.0,10192,128.0,1095.0,1132.0
4155,S. Korea,3.0,101.0,3.0,Jan 19 ,55.0,9887,165.0,5567.0,193.0
7269,Canada,3.0,,,Jan 24 ,120.0,8612,101.0,1242.0,228.0
7240,Portugal,16.0,,,Mar 01 ,188.0,7443,160.0,43.0,730.0
5483,Brazil,1.0,95.0,1.0,Feb 24 ,296.0,5812,202.0,127.0,27.0
5346,Israel,2.0,233.0,1.0,Feb 20 ,97.0,5591,21.0,224.0,646.0
4496,Australia,0.8,99.0,1.0,Jan 24 ,28.0,4862,21.0,345.0,191.0
4591,Norway,7.0,2.0,,Feb 25 ,97.0,4643,39.0,13.0,856.0
4239,Sweden,18.0,,,Jan 30 ,358.0,4435,180.0,16.0,439.0
3232,Czechia,3.0,,,Feb 29 ,64.0,3308,31.0,45.0,309.0
3159,Ireland,14.0,,,Feb 28 ,103.0,3235,71.0,5.0,655.0
2769,Denmark,16.0,,,Feb 26 ,145.0,2860,90.0,1.0,494.0
2186,Malaysia,1.0,,,Jan 24 ,94.0,2766,43.0,537.0,85.0
2570,Chile,0.6,,,Mar 02 ,14.0,2738,12.0,156.0,143.0
2199,Russia,0.1,,,Jan 30 ,8.0,2337,17.0,121.0,16.0
2271,Poland,0.9,,,Mar 03 ,50.0,2311,33.0,7.0,61.0
2165,Ecuador,4.0,,,Feb 28 ,100.0,2302,79.0,58.0,130.0
1943,Romania,4.0,,,Feb 25 ,62.0,2245,82.0,220.0,117.0
1697,Japan,0.5,,,Jan 14 ,69.0,2178,57.0,424.0,17.0
