ActiveCases,Continent,Country,Deathsper1Mpop,NewCases,NewDeaths,Serious_Critical,Testsper1Mpop,TotalCases,TotalDeaths,TotalRecovered,TotalTests,TotCasesper1Mpop
717673,North America,North America,,905.0,40.0,15208.0,,852301,45473.0,89155.0,,
683121,Europe,Europe,,136.0,14.0,26148.0,,1113232,104505.0,325606.0,,
195312,Asia,Asia,,633.0,18.0,6311.0,,397102,15150.0,186640.0,,
44514,South America,South America,,35.0,2.0,9453.0,,86521,4081.0,37926.0,,
2374,Australia/Oceania,Oceania,,22.0,1.0,54.0,,8186,84.0,5728.0,,
16574,Africa,Africa,,38.0,,174.0,,24209,1164.0,6471.0,,
1659630,All,World,21.9,1769.0,75.0,57355.0,,2482272,170472.0,652170.0,,318.0
678031,North America,USA,128.0,179.0,4.0,13951.0,12167.0,792938,42518.0,72389.0,4027367.0,2396.0
98771,Europe,Spain,446.0,,,7371.0,19896.0,200210,20852.0,80587.0,930230.0,4282.0
108237,Europe,Italy,399.0,,,2573.0,23122.0,181228,24114.0,48877.0,1398024.0,2997.0
97709,Europe,France,310.0,,,5683.0,7103.0,155383,20265.0,37409.0,463662.0,2380.0
47003,Europe,Germany,58.0,,,2889.0,20629.0,147065,4862.0,95200.0,1728357.0,1755.0
107890,Europe,UK,243.0,,,1559.0,7386.0,124743,16509.0,0.0,501379.0,1838.0
75410,Asia,Turkey,25.0,,,1909.0,7991.0,90980,2140.0,13430.0,673980.0,1079.0
19023,Asia,Iran,62.0,,,3389.0,4203.0,83505,5209.0,59273.0,353012.0,994.0
43270,Europe,Russia,3.0,,,700.0,14070.0,47121,405.0,3446.0,2053319.0,323.0
15165,South America,Brazil,12.0,,,8318.0,1373.0,40743,2587.0,22991.0,291922.0,192.0
25260,Europe,Belgium,503.0,,,1071.0,13969.0,39983,5828.0,8895.0,161896.0,3450.0
22555,North America,Canada,45.0,2.0,,557.0,14826.0,36831,1690.0,12586.0,559578.0,976.0
29404,Europe,Netherlands,219.0,,,1158.0,10004.0,33405,3751.0,0.0,171415.0,1950.0
7915,Europe,Switzerland,165.0,,,386.0,25933.0,27944,1429.0,18600.0,224442.0,3229.0
19518,Europe,Portugal,72.0,,,215.0,23133.0,20863,735.0,610.0,235878.0,2046.0
14793,Asia,India,0.4,119.0,,,291.0,18658,592.0,3273.0,401586.0,14.0
8912,South America,Peru,13.0,,,385.0,4489.0,16325,445.0,6968.0,148011.0,495.0
14888,Europe,Ireland,139.0,,,294.0,18358.0,15652,687.0,77.0,90646.0,3170.0
3694,Europe,Austria,52.0,,,194.0,20313.0,14795,470.0,10631.0,182949.0,1643.0
12647,Europe,Sweden,156.0,,,521.0,7387.0,14777,1580.0,550.0,74600.0,1463.0
9487,Asia,Israel,20.0,,,149.0,27763.0,13713,177.0,4049.0,240303.0,1584.0
9633,Asia,Japan,2.0,,,217.0,923.0,11135,263.0,1239.0,116725.0,88.0
2233,Asia,S. Korea,5.0,9.0,1.0,55.0,11138.0,10683,237.0,8213.0,571014.0,208.0
5692,South America,Chile,7.0,,,377.0,6216.0,10507,139.0,4676.0,118827.0,550.0
8891,Asia,Saudi Arabia,3.0,,,88.0,5170.0,10484,103.0,1490.0,180000.0,301.0
8471,South America,Ecuador,29.0,,,124.0,1839.0,10128,507.0,1150.0,32453.0,574.0
8080,Europe,Poland,10.0,,,160.0,5661.0,9593,380.0,1133.0,214236.0,253.0
6958,Asia,Pakistan,0.9,324.0,16.0,46.0,506.0,9216,192.0,2066.0,111806.0,42.0
6441,Europe,Romania,25.0,,,261.0,5120.0,8936,478.0,2017.0,98491.0,465.0
5433,North America,Mexico,6.0,511.0,26.0,378.0,384.0,8772,712.0,2627.0,49570.0,68.0
7202,Asia,Singapore,2.0,,,23.0,16203.0,8014,11.0,801.0,94796.0,1370.0
2839,Europe,Denmark,63.0,,,84.0,16616.0,7515,364.0,4312.0,96244.0,1297.0
5862,Asia,UAE,4.0,,,1.0,79875.0,7265,43.0,1360.0,790000.0,735.0
6943,Europe,Norway,33.0,,,58.0,26425.0,7156,181.0,32.0,143255.0,1320.0
5147,Europe,Czechia,18.0,,,84.0,16073.0,6900,194.0,1559.0,172123.0,644.0
5423,Asia,Indonesia,2.0,,,,182.0,6760,590.0,747.0,49767.0,25.0
1886,Australia/Oceania,Australia,3.0,17.0,,49.0,17198.0,6642,71.0,4685.0,438540.0,260.0
5635,Europe,Serbia,14.0,,,108.0,4785.0,6630,125.0,870.0,41812.0,759.0
5418,Asia,Philippines,4.0,,,1.0,547.0,6459,428.0,613.0,59928.0,59.0
5699,Europe,Belarus,5.0,,,92.0,10853.0,6264,51.0,514.0,102556.0,663.0
5451,Asia,Qatar,3.0,,,37.0,22429.0,6015,9.0,555.0,64620.0,2088.0
5200,Europe,Ukraine,3.0,,,45.0,1328.0,5710,151.0,359.0,58093.0,131.0
2041,Asia,Malaysia,3.0,,,45.0,3344.0,5425,89.0,3295.0,108216.0,168.0
4313,North America,Dominican Republic,22.0,,,128.0,5329.0,4964,235.0,416.0,57809.0,458.0
4318,North America,Panama,32.0,191.0,10.0,98.0,4425.0,4658,136.0,204.0,19091.0,1080.0
2984,South America,Colombia,4.0,,,98.0,1281.0,3977,189.0,804.0,65169.0,78.0
1770,Europe,Finland,18.0,,,67.0,10685.0,3868,98.0,2000.0,59200.0,698.0
2846,Europe,Luxembourg,120.0,,,32.0,53992.0,3558,75.0,637.0,33798.0,5684.0
2262,Africa,Egypt,2.0,,,,537.0,3333,250.0,821.0,55000.0,33.0
2187,Africa,South Africa,1.0,,,36.0,2049.0,3300,58.0,1055.0,121510.0,56.0
2553,Africa,Morocco,4.0,,,1.0,444.0,3046,143.0,350.0,16386.0,83.0
2152,South America,Argentina,3.0,,,123.0,765.0,3031,142.0,737.0,34568.0,67.0
2762,Asia,Bangladesh,0.6,,,1.0,162.0,2948,101.0,85.0,26604.0,18.0
655,Asia,Thailand,0.7,19.0,1.0,61.0,2043.0,2811,48.0,2108.0,142589.0,40.0
1235,Africa,Algeria,9.0,,,40.0,148.0,2718,384.0,1099.0,6500.0,62.0
2021,Europe,Moldova,17.0,,,212.0,2916.0,2548,70.0,457.0,11763.0,632.0
1552,Europe,Greece,11.0,,,61.0,5214.0,2245,116.0,577.0,54344.0,215.0
1598,Europe,Hungary,22.0,114.0,14.0,82.0,5181.0,2098,213.0,287.0,50052.0,217.0
1619,Asia,Kuwait,2.0,,,39.0,,1995,9.0,367.0,,467.0
1483,Asia,Kazakhstan,1.0,97.0,,22.0,6282.0,1949,19.0,447.0,117949.0,104.0
1131,Asia,Bahrain,4.0,,,2.0,52437.0,1907,7.0,769.0,89225.0,1121.0
1063,Europe,Croatia,11.0,,,18.0,6482.0,1881,47.0,771.0,26610.0,458.0
401,Europe,Iceland,29.0,,,4.0,126429.0,1773,10.0,1362.0,43143.0,5196.0
1391,Asia,Uzbekistan,0.1,30.0,,8.0,4063.0,1657,5.0,261.0,136000.0,50.0
449,Asia,Iraq,2.0,,,,1468.0,1574,82.0,1043.0,59055.0,39.0
1330,Europe,Estonia,30.0,,,9.0,30855.0,1535,40.0,165.0,40930.0,1157.0
426,Australia/Oceania,New Zealand,3.0,5.0,1.0,3.0,18562.0,1445,13.0,1006.0,89508.0,300.0
626,Asia,Azerbaijan,2.0,,,16.0,9443.0,1436,19.0,791.0,95747.0,142.0
1165,Asia,Oman,1.0,,,3.0,,1410,7.0,238.0,,276.0
1013,Europe,Lithuania,14.0,22.0,,17.0,25893.0,1348,37.0,298.0,70489.0,495.0
737,Asia,Armenia,7.0,,,30.0,4513.0,1339,22.0,580.0,13373.0,452.0
1065,Europe,Slovenia,37.0,,,26.0,20107.0,1335,77.0,193.0,41802.0,642.0
879,Europe,Bosnia and Herzegovina,15.0,,,4.0,5650.0,1309,49.0,381.0,18538.0,399.0
971,Europe,North Macedonia,26.0,,,9.0,5697.0,1225,54.0,200.0,11870.0,588.0
909,Europe,Slovakia,2.0,,,8.0,8560.0,1173,13.0,251.0,46734.0,215.0
816,Africa,Cameroon,2.0,,,33.0,,1163,42.0,305.0,,44.0
766,North America,Cuba,3.0,,,9.0,2525.0,1087,36.0,285.0,28598.0,96.0
934,Africa,Ghana,0.3,,,4.0,2207.0,1042,9.0,99.0,68591.0,34.0
855,Asia,Afghanistan,0.9,,,7.0,165.0,1026,36.0,135.0,6422.0,26.0
392,Asia,Hong Kong,0.5,,,8.0,17579.0,1026,4.0,630.0,131786.0,137.0
719,Europe,Bulgaria,6.0,,,34.0,3802.0,929,43.0,167.0,26417.0,134.0
698,Africa,Tunisia,3.0,,,34.0,1463.0,884,38.0,148.0,17287.0,75.0
582,Africa,Ivory Coast,0.4,,,,,879,10.0,287.0,,33.0
742,Africa,Djibouti,2.0,,,,8243.0,846,2.0,102.0,8144.0,856.0
679,Asia,Cyprus,10.0,,,15.0,28233.0,772,12.0,81.0,34087.0,639.0
646,Europe,Latvia,3.0,,,5.0,19440.0,739,5.0,88.0,36668.0,392.0
432,Europe,Andorra,479.0,,,17.0,21653.0,717,37.0,248.0,1673.0,9280.0
55,,Diamond Princess,,,,7.0,,712,13.0,644.0,,
553,Asia,Lebanon,3.0,,,27.0,3066.0,677,21.0,103.0,20929.0,99.0
455,Africa,Nigeria,0.1,,,2.0,35.0,665,22.0,188.0,7153.0,3.0
532,North America,Costa Rica,1.0,,,8.0,2136.0,662,6.0,124.0,10879.0,130.0
511,Africa,Niger,0.8,7.0,,,195.0,655,20.0,124.0,4715.0,27.0
495,Africa,Guinea,0.4,,,,,622,5.0,122.0,,47.0
527,South America,Bolivia,3.0,34.0,1.0,3.0,306.0,598,34.0,37.0,3569.0,51.0
367,Asia,Kyrgyzstan,1.0,22.0,,5.0,4008.0,590,7.0,216.0,26147.0,90.0
231,Europe,Albania,9.0,,,5.0,2007.0,584,26.0,327.0,5775.0,203.0
186,Africa,Burkina Faso,2.0,,,,,581,38.0,357.0,,28.0
211,South America,Uruguay,3.0,,1.0,13.0,3856.0,535,11.0,313.0,13396.0,154.0
423,North America,Honduras,5.0,17.0,,10.0,256.0,494,46.0,25.0,2535.0,50.0
391,Europe,Channel Islands,138.0,,,,19095.0,488,24.0,73.0,3320.0,2807.0
362,Europe,San Marino,1149.0,,,4.0,50868.0,462,39.0,61.0,1726.0,13616.0
375,Asia,Palestine,0.6,,,,3397.0,449,3.0,71.0,17329.0,88.0
302,Europe,Malta,7.0,,,2.0,56436.0,431,3.0,126.0,24919.0,976.0
136,Asia,Jordan,0.7,,,5.0,3234.0,425,7.0,282.0,33000.0,42.0
213,Asia,Taiwan,0.3,,,,2252.0,422,6.0,203.0,53632.0,18.0
170,Africa,Réunion,,,,2.0,,408,,238.0,,456.0
303,Asia,Georgia,1.0,,,6.0,1908.0,402,4.0,95.0,7611.0,101.0
137,Africa,Senegal,0.3,,,1.0,,377,5.0,235.0,,23.0
290,Africa,DRC,0.3,18.0,,,,350,25.0,35.0,,4.0
95,Africa,Mauritius,7.0,,,3.0,7670.0,328,9.0,224.0,9755.0,258.0
219,Europe,Montenegro,8.0,,,7.0,6168.0,312,5.0,88.0,3874.0,497.0
199,Asia,Sri Lanka,0.3,,,1.0,302.0,304,7.0,98.0,6463.0,14.0
91,Europe,Isle of Man,106.0,,,15.0,29506.0,300,9.0,200.0,2509.0,3528.0
263,North America,Guatemala,0.4,5.0,,3.0,402.0,294,7.0,24.0,7200.0,16.0
158,South America,Venezuela,0.4,,,4.0,12211.0,285,10.0,117.0,347236.0,10.0
163,Africa,Mayotte,15.0,13.0,,4.0,7331.0,284,4.0,117.0,2000.0,1041.0
198,Africa,Kenya,0.3,,,2.0,258.0,281,14.0,69.0,13872.0,5.0
53,Asia,Vietnam,,,,8.0,2119.0,268,,215.0,206253.0,3.0
233,Africa,Tanzania,0.2,,,4.0,,254,10.0,11.0,,4.0
176,Africa,Mali,0.7,,,,,246,14.0,56.0,,12.0
225,Africa,Somalia,0.5,,,2.0,,237,8.0,4.0,,15.0
191,North America,Jamaica,2.0,,,,638.0,223,5.0,27.0,1889.0,75.0
165,North America,El Salvador,1.0,,,2.0,1882.0,218,7.0,46.0,12210.0,34.0
154,South America,Paraguay,1.0,,,1.0,771.0,208,8.0,46.0,5501.0,29.0
8,Europe,Faeroe Islands,,,,,123222.0,185,,177.0,6021.0,3786.0
78,North America,Martinique,32.0,,,11.0,,163,12.0,73.0,,434.0
138,Africa,Congo,1.0,,,,,160,6.0,16.0,,29.0
67,North America,Guadeloupe,20.0,,,13.0,,148,8.0,73.0,,370.0
67,Africa,Rwanda,,,,,537.0,147,,80.0,6959.0,11.0
21,Asia,Brunei ,2.0,,,2.0,26591.0,138,1.0,116.0,11633.0,315.0
12,Europe,Gibraltar,,,,1.0,56751.0,132,,120.0,1912.0,3918.0
12,Asia,Cambodia,,,,1.0,345.0,122,,110.0,5768.0,7.0
80,Africa,Madagascar,,,,1.0,85.0,121,,41.0,2357.0,4.0
112,Africa,Gabon,0.4,,,2.0,257.0,120,1.0,7.0,572.0,54.0
107,Asia,Myanmar,0.09,,,,86.0,119,5.0,7.0,4692.0,2.0
80,North America,Trinidad and Tobago,6.0,,,,986.0,114,8.0,26.0,1380.0,81.0
92,Africa,Ethiopia,0.03,,,1.0,69.0,111,3.0,16.0,7953.0,1.0
87,Africa,Sudan,0.3,,,,,107,12.0,8.0,,2.0
84,Africa,Liberia,2.0,,,,,99,8.0,7.0,,20.0
46,North America,Aruba,19.0,,,4.0,13506.0,97,2.0,49.0,1442.0,909.0
27,South America,French Guiana,3.0,,,2.0,,97,1.0,69.0,,325.0
68,Europe,Monaco,76.0,,,3.0,,94,3.0,23.0,,2395.0
44,North America,Bermuda,80.0,,,10.0,10453.0,86,5.0,37.0,651.0,1381.0
