1stcase,ActiveCases,Country,Deathsper1Mpop,NewCases,NewDeaths,"Serious,Critical",TotalCases,TotalDeaths,TotalRecovered,TotCasesper1Mpop
Mar 04 ,264,Bosnia and Herzegovina,2.0,,,1.0,278,6.0,8.0,85.0
Mar 12 ,232,Kazakhstan,0.05,23.0,,,251,1.0,18.0,13.0
Mar 01 ,227,Jordan,0.1,,,3.0,246,1.0,18.0,24.0
Feb 25 ,234,North Macedonia,2.0,,,1.0,241,4.0,3.0,116.0
Feb 23 ,171,Kuwait,,,,11.0,235,,64.0,55.0
Mar 06 ,227,Moldova,0.5,,,33.0,231,2.0,2.0,57.0
Feb 26 ,196,San Marino,648.0,,,16.0,224,22.0,6.0,6602.0
Mar 08 ,175,Burkina Faso,0.5,,,,207,11.0,21.0,10.0
Mar 07 ,156,Albania,3.0,,,3.0,197,10.0,31.0,68.0
Mar 10 ,182,Réunion,,,,,183,,1.0,204.0
Feb 27 ,163,Azerbaijan,0.4,,,23.0,182,4.0,15.0,18.0
Mar 08 ,159,Cyprus,4.0,,,3.0,179,5.0,15.0,148.0
Jan 22 ,158,Vietnam,,5.0,,3.0,179,,21.0,2.0
Feb 23 ,144,Oman,,15.0,,,167,,23.0,33.0
Mar 03 ,89,Faeroe Islands,,4.0,,1.0,159,,70.0,3254.0
Mar 06 ,147,Malta,,,,1.0,149,,2.0,337.0
Mar 11 ,134,Ghana,0.2,,,1.0,141,5.0,2.0,5.0
Mar 14 ,124,Uzbekistan,0.06,29.0,,8.0,133,2.0,7.0,4.0
Mar 01 ,112,Senegal,,,,,130,,18.0,8.0
Mar 08 ,94,Brunei ,2.0,,,1.0,120,1.0,25.0,274.0
Mar 10 ,112,Cuba,0.3,,,2.0,119,3.0,4.0,11.0
Mar 12 ,78,Venezuela,0.07,,,2.0,119,2.0,39.0,4.0
Jan 26 ,105,Sri Lanka,0.05,2.0,,5.0,115,1.0,9.0,5.0
Feb 23 ,104,Afghanistan,0.1,,,,110,4.0,2.0,3.0
Mar 10 ,106,Honduras,0.1,15.0,,4.0,110,1.0,3.0,11.0
Mar 04 ,85,Palestine,0.2,,,,104,1.0,18.0,20.0
Jan 26 ,82,Cambodia,,4.0,,1.0,103,,21.0,6.0
Mar 12 ,83,Guadeloupe,5.0,,,4.0,102,2.0,17.0,255.0
Mar 17 ,100,Mauritius,2.0,,,1.0,102,2.0,,80.0
Mar 10 ,98,Ivory Coast,,,,,101,,3.0,4.0
Mar 08 ,99,Channel Islands,6.0,3.0,,,100,1.0,,575.0
Feb 27 ,93,Nigeria,0.0,,,,97,1.0,3.0,0.5
Feb 27 ,62,Belarus,,,,2.0,94,,32.0,10.0
Mar 04 ,92,Martinique,3.0,,,12.0,93,1.0,,248.0
Mar 05 ,87,Cameroon,0.08,,,,91,2.0,2.0,3.0
Feb 25 ,76,Georgia,,,,1.0,90,,14.0,23.0
Mar 16 ,83,Montenegro,2.0,,,1.0,84,1.0,,134.0
Mar 17 ,84,Kyrgyzstan,,26.0,,,84,,,13.0
Mar 09 ,81,Bolivia,,7.0,,3.0,81,,,7.0
Mar 11 ,72,Trinidad and Tobago,2.0,,,,76,3.0,1.0,54.0
Mar 09 ,57,DRC,0.07,,,,65,6.0,2.0,0.7
Mar 13 ,63,Mayotte,,,,,63,,,231.0
Mar 13 ,60,Rwanda,,,,,60,,,5.0
Mar 06 ,52,Paraguay,0.4,,,1.0,56,3.0,1.0,8.0
Mar 02 ,42,Gibraltar,,,,,56,,14.0,1662.0
Mar 02 ,56,Liechtenstein,,,,,56,,,1469.0
Mar 07 ,28,Bangladesh,0.03,,,1.0,48,5.0,15.0,0.3
Mar 12 ,45,Aruba,,,,,46,,1.0,431.0
Feb 27 ,41,Monaco,25.0,,,,43,1.0,1.0,1096.0
Mar 19 ,39,Madagascar,,13.0,,,39,,,1.0
Mar 12 ,36,Kenya,0.02,,,2.0,38,1.0,1.0,0.7
Mar 12 ,23,Guatemala,0.06,,,1.0,34,1.0,10.0,2.0
Jan 21 ,24,Macao,,,,,34,,10.0,52.0
Mar 09 ,29,Jamaica,0.3,2.0,,,32,1.0,2.0,11.0
Mar 18 ,32,Isle of Man,,,,,32,,,376.0
Mar 10 ,30,French Polynesia,,,,,30,,,107.0
Mar 20 ,30,Uganda,,,,,30,,,0.7
Mar 06 ,22,French Guiana,,,,,28,,6.0,94.0
Mar 17 ,28,Zambia,,,,,28,,,2.0
Mar 16 ,26,Barbados,,,,,26,,,90.0
Mar 05 ,23,Togo,0.1,,,,25,1.0,1.0,3.0
Mar 18 ,24,El Salvador,,5.0,,,24,,,4.0
Mar 24 ,17,Mali,0.05,,,,18,1.0,,0.9
Mar 17 ,15,Bermuda,,,,,17,,2.0,273.0
Mar 06 ,6,Maldives,,1.0,,,17,,11.0,31.0
Mar 12 ,15,Ethiopia,,,,,16,,1.0,0.1
Mar 19 ,14,Haiti,,7.0,,,15,,1.0,1.0
Mar 17 ,15,New Caledonia,,,,,15,,,53.0
Mar 17 ,14,Djibouti,,,,,14,,,14.0
Mar 15 ,13,Tanzania,,,,,14,,1.0,0.2
Mar 13 ,12,Equatorial Guinea,,,,,12,,,9.0
Mar 09 ,12,Mongolia,,,,,12,,,4.0
Mar 21 ,11,Dominica,,,,,11,,,153.0
Feb 29 ,11,Saint Martin,,,,,11,,,284.0
Mar 18 ,9,Niger,0.04,,,,10,1.0,,0.4
Mar 14 ,9,Bahamas,,,,,10,,1.0,25.0
Mar 15 ,8,Greenland,,,,,10,,2.0,176.0
Mar 21 ,9,Grenada,,2.0,,,9,,,80.0
Mar 13 ,9,Eswatini,,,,,9,,,8.0
Mar 12 ,7,Cayman Islands,15.0,,,,8,1.0,,122.0
Mar 12 ,5,Curaçao,6.0,,,,8,1.0,2.0,49.0
Mar 11 ,7,Guyana,1.0,,,,8,1.0,,10.0
Mar 12  ,8,Guinea,,,,,8,,,0.6
Mar 23 ,8,Laos,,,,,8,,,1.0
Mar 21 ,8,Mozambique,,,,,8,,,0.3
Mar 22 ,8,Myanmar,,,,,8,,,0.1
Mar 13 ,6,Namibia,,,,,8,,2.0,3.0
Mar 13 ,8,Seychelles,,,,,8,,,81.0
Mar 12 ,8,Suriname,,,,,8,,,14.0
Mar 12 ,6,Gabon,0.4,,,,7,1.0,,3.0
Mar 19 ,6,Zimbabwe,0.07,,,,7,1.0,,0.5
Mar 12 ,7,Antigua and Barbuda,,,,,7,,,71.0
Mar 19 ,5,Cabo Verde,2.0,,,,6,1.0,,11.0
Mar 15 ,6,Benin,,,,,6,,,0.5
Mar 20 ,6,Eritrea,,,,,6,,,2.0
Mar 05 ,6,Vatican City,,,,,6,,,7491.0
Mar 12 ,4,Sudan,0.02,,,,5,1.0,,0.1
Jan 23 ,4,Nepal,,,,,5,,1.0,0.2
Mar 19 ,5,Angola,,,,,5,,,0.2
Mar 18 ,5,Fiji,,,,,5,,,6.0
Mar 12 ,5,Mauritania,,,,,5,,,1.0
Mar 17 ,5,Montserrat,,,,,5,,,1002.0
Feb 29 ,5,St. Barth,,,,,5,,,506.0
Mar 21 ,5,Syria,,,,,5,,,0.3
Mar 18 ,3,Nicaragua,0.2,,,,4,1.0,,0.6
Mar 05 ,4,Bhutan,,1.0,,,4,,,5.0
Mar 14 ,4,Congo,,,,,4,,,0.7
Mar 22 ,4,Turks and Caicos,,,,,4,,,103.0
Mar 16 ,2,Gambia,0.4,,,,3,1.0,,1.0
Mar 14 ,3,CAR,,,,,3,,,0.6
Mar 18 ,3,Chad,,,,,3,,,0.2
Mar 15 ,3,Liberia,,,,,3,,,0.6
Mar 23 ,3,Libya,,,,,3,,,0.4
Mar 12 ,2,Saint Lucia,,,,,3,,1.0,16.0
Mar 17 ,3,Sint Maarten,,,,,3,,,70.0
Mar 15 ,3,Somalia,,,,,3,,,0.2
Mar 26 ,2,MS Zaandam,,,,,2,,,
Mar 25 ,2,Anguilla,,,,,2,,,133.0
Mar 22 ,2,Belize,,,,,2,,,5.0
Mar 24 ,2,British Virgin Islands,,,,,2,,,66.0
Mar 24 ,2,Guinea-Bissau,,,,,2,,,1.0
Mar 24 ,2,Saint Kitts and Nevis,,,,,2,,,38.0
Mar 19 ,1,Papua New Guinea,,,,,1,,,0.1
Mar 10 ,0,St. Vincent Grenadines,,,,,1,,1.0,9.0
Mar 20 ,1,Timor-Leste,,,,,1,,,0.8
Jan 10 ,2691,China,2.0,45.0,5.0,742.0,81439,3300.0,75448.0,57.0
