1stcase,ActiveCases,Country,Deathsper1Mpop,NewCases,NewDeaths,"Serious,Critical",TotalCases,TotalDeaths,TotalRecovered,TotCasesper1Mpop
Jan 10 ,3128,China,2.0,54.0,3.0,886.0,81394,3295.0,74971.0,57.0
Jan 20 ,100027,USA,5.0,130.0,8.0,2494.0,104256,1704.0,2525.0,315.0
Jan 29 ,66414,Italy,151.0,,,3732.0,86498,9134.0,10950.0,1431.0
Jan 30 ,51224,Spain,110.0,,,4165.0,65719,5138.0,9357.0,1406.0
Jan 26 ,43862,Germany,4.0,,,1581.0,50871,351.0,6658.0,607.0
Jan 23 ,25269,France,31.0,,,3787.0,32964,1995.0,5700.0,505.0
Feb 18 ,18821,Iran,28.0,,,2893.0,32332,2378.0,11133.0,385.0
Jan 30 ,13649,UK,11.0,,,163.0,14543,759.0,135.0,214.0
Feb 24 ,11167,Switzerland,27.0,,,203.0,12928,231.0,1530.0,1494.0
Jan 19 ,4523,S. Korea,3.0,146.0,5.0,59.0,9478,144.0,4811.0,185.0
Feb 26 ,8054,Netherlands,32.0,,,761.0,8603,546.0,3.0,502.0
Feb 24 ,7414,Austria,6.0,,,128.0,7697,58.0,225.0,855.0
Feb 03 ,6137,Belgium,25.0,,,690.0,7284,289.0,858.0,628.0
Mar 09 ,5564,Turkey,1.0,,,241.0,5698,92.0,42.0,68.0
Jan 24 ,4348,Canada,1.0,,,120.0,4757,55.0,354.0,126.0
Mar 01 ,4149,Portugal,7.0,,,71.0,4268,76.0,43.0,419.0
Feb 25 ,3745,Norway,4.0,,,70.0,3771,19.0,7.0,696.0
 Jan 24 ,3389,Australia,0.5,195.0,1.0,23.0,3573,14.0,170.0,140.0
Feb 24 ,3378,Brazil,0.4,60.0,1.0,296.0,3477,93.0,6.0,16.0
Jan 30 ,2948,Sweden,10.0,,,214.0,3069,105.0,16.0,304.0
Feb 20 ,2944,Israel,1.0,,,49.0,3035,12.0,79.0,351.0
Feb 29 ,2259,Czechia,0.8,,,34.0,2279,9.0,11.0,213.0
Jan 24 ,1876,Malaysia,0.8,,,54.0,2161,26.0,259.0,67.0
Feb 28 ,2094,Ireland,4.0,,,59.0,2121,22.0,5.0,430.0
Feb 26 ,1993,Denmark,9.0,,,109.0,2046,52.0,1.0,353.0
Feb 28 ,1583,Ecuador,2.0,,,58.0,1627,41.0,3.0,92.0
Mar 02  ,1562,Chile,0.3,,,7.0,1610,5.0,43.0,84.0
Feb 28 ,1550,Luxembourg,24.0,,,25.0,1605,15.0,40.0,2564.0
Jan 14 ,1078,Japan,0.4,,,56.0,1499,49.0,372.0,12.0
Mar 03 ,1366,Poland,0.4,,,3.0,1389,16.0,7.0,37.0
Feb 25 ,1339,Pakistan,0.05,,,7.0,1373,11.0,23.0,6.0
Feb 25 ,1151,Romania,1.0,,,32.0,1292,26.0,115.0,67.0
Jan 12 ,1142,Thailand,0.09,109.0,1.0,11.0,1245,6.0,97.0,18.0
Mar 04 ,1138,South Africa,0.02,,,7.0,1170,1.0,31.0,20.0
Mar 01 ,1066,Saudi Arabia,0.09,,,6.0,1104,3.0,35.0,32.0
Mar 01 ,913,Indonesia,0.3,,,,1046,87.0,46.0,4.0
Jan 28 ,1024,Finland,1.0,,,32.0,1041,7.0,10.0,188.0
Jan 30 ,987,Russia,0.03,,,8.0,1036,4.0,45.0,7.0
Feb 25 ,886,Greece,3.0,,,66.0,966,28.0,52.0,93.0
Jan 29 ,799,India,0.01,15.0,,,902,20.0,83.0,0.7
Feb 27 ,791,Iceland,6.0,,,18.0,890,2.0,97.0,2608.0
Jan 29 ,718,Philippines,0.5,,,1.0,803,54.0,31.0,7.0
Mar 09 ,770,Panama,3.0,,,20.0,786,14.0,2.0,182.0
Jan 22 ,547,Singapore,0.3,,,17.0,732,2.0,183.0,125.0
Feb 27 ,701,Mexico,0.09,132.0,4.0,1.0,717,12.0,4.0,6.0
Feb 04 ,105,Diamond Princess,,,,15.0,712,10.0,597.0,
Mar 02 ,601,Argentina,0.4,101.0,4.0,,690,17.0,72.0,15.0
Mar 05 ,608,Peru,0.3,,,21.0,635,11.0,16.0,19.0
Mar 03 ,613,Slovenia,4.0,,,14.0,632,9.0,10.0,304.0
Feb 24 ,546,Croatia,0.7,,,14.0,586,3.0,37.0,143.0
Feb 29 ,558,Dominican Republic,2.0,,,,581,20.0,3.0,54.0
Feb 26 ,563,Estonia,0.8,,,7.0,575,1.0,11.0,433.0
Feb 28 ,519,Qatar,,,,6.0,562,,43.0,195.0
Mar 05 ,523,Colombia,0.1,,,,539,6.0,10.0,11.0
Feb 13 ,390,Egypt,0.3,,,,536,30.0,116.0,5.0
Mar 05 ,478,Serbia,0.9,,,25.0,528,8.0,42.0,60.0
Jan 22 ,404,Hong Kong,0.5,,,5.0,519,4.0,111.0,69.0
Feb 23 ,235,Bahrain,2.0,,,1.0,466,4.0,227.0,274.0
Feb 21 ,296,Iraq,1.0,,,,458,40.0,122.0,11.0
Feb 27 ,401,New Zealand,,83.0,,2.0,451,,50.0,94.0
Feb 24 ,354,Algeria,0.6,,,,409,26.0,29.0,9.0
Jan 28 ,351,UAE,0.2,,,2.0,405,2.0,52.0,41.0
Feb 20 ,356,Lebanon,1.0,,,3.0,391,8.0,27.0,57.0
Feb 27 ,352,Lithuania,2.0,,,2.0,358,5.0,1.0,132.0
Mar 01 ,311,Morocco,0.6,,,1.0,345,23.0,11.0,9.0
Feb 29 ,300,Armenia,0.3,,,6.0,329,1.0,28.0,111.0
Mar 02 ,300,Ukraine,0.1,,,,310,5.0,5.0,7.0
Mar 03 ,256,Hungary,1.0,,,6.0,300,10.0,34.0,31.0
Mar 06 ,281,Bulgaria,0.4,,,8.0,293,3.0,9.0,42.0
Mar 01  ,279,Latvia,,,,,280,,1.0,148.0
Mar 12 ,274,Uruguay,,36.0,,8.0,274,,,79.0
Mar 05 ,267,Slovakia,,,,1.0,269,,2.0,49.0
Mar 01 ,263,Andorra,39.0,,,11.0,267,3.0,1.0,3456.0
Jan 20 ,235,Taiwan,0.08,,,,267,2.0,30.0,11.0
Mar 04 ,258,Costa Rica,0.4,,,5.0,263,2.0,3.0,52.0
Mar 04 ,228,Bosnia and Herzegovina,1.0,,,1.0,237,4.0,5.0,72.0
Mar 01 ,216,Jordan,0.1,,,,235,1.0,18.0,23.0
Mar 01 ,218,Tunisia,0.6,,,10.0,227,7.0,2.0,19.0
Feb 23 ,168,Kuwait,,,,11.0,225,,57.0,53.0
Feb 26 ,196,San Marino,619.0,,,15.0,223,21.0,6.0,6572.0
Feb 25 ,213,North Macedonia,1.0,,,1.0,219,3.0,3.0,105.0
Mar 06 ,195,Moldova,0.5,,,33.0,199,2.0,2.0,49.0
Mar 07 ,147,Albania,3.0,,,3.0,186,8.0,31.0,65.0
Mar 08 ,159,Burkina Faso,0.4,,,,180,9.0,12.0,9.0
Jan 22 ,149,Vietnam,,6.0,,3.0,169,,20.0,2.0
Feb 27 ,147,Azerbaijan,0.3,,,6.0,165,3.0,15.0,16.0
Mar 08 ,142,Cyprus,4.0,,,3.0,162,5.0,15.0,134.0
Mar 12 ,146,Kazakhstan,0.05,,,,150,1.0,3.0,8.0
Mar 10 ,144,Réunion,,,,,145,,1.0,162.0
