ActiveCases,Country,Deathsper1Mpop,NewCases,NewDeaths,Reported1st case,"Serious,Critical",TotalCases,TotalDeaths,TotalRecovered,TotCasesper1Mpop
324,Costa Rica,0.4,,,Mar 04 ,7.0,330,2.0,4.0,65.0
301,Kazakhstan,0.1,23.0,1.0,Mar 12 ,,325,2.0,22.0,17.0
278,Taiwan,0.2,16.0,,Jan 20 ,,322,5.0,39.0,14.0
294,Uruguay,0.3,,,Mar 12 ,9.0,320,1.0,25.0,92.0
281,Moldova,0.5,,,Mar 06 ,44.0,298,2.0,15.0,74.0
266,North Macedonia,3.0,,,Feb 25 ,1.0,285,7.0,12.0,137.0
243,Azerbaijan,0.4,,,Feb 27 ,23.0,273,4.0,26.0,27.0
237,Jordan,0.5,,,Mar 01 ,3.0,268,5.0,26.0,26.0
194,Kuwait,,,,Feb 23 ,13.0,266,,72.0,62.0
203,Burkina Faso,0.6,,,Mar 08 ,,246,12.0,31.0,12.0
192,San Marino,737.0,,,Feb 26 ,16.0,230,25.0,13.0,6778.0
201,Cyprus,6.0,,,Mar 08 ,3.0,230,7.0,22.0,190.0
223,Réunion,,,,Mar 10 ,,224,,1.0,250.0
168,Albania,4.0,,,Mar 07 ,7.0,223,11.0,44.0,77.0
149,Vietnam,,,,Jan 22 ,3.0,204,,55.0,2.0
182,Cameroon,0.2,54.0,,Mar 05 ,,193,6.0,5.0,7.0
150,Oman,,,, Feb 23 ,3.0,179,,29.0,35.0
164,Afghanistan,0.1,,,Feb 23 ,,170,4.0,2.0,4.0
162,Cuba,0.4,,,Mar 10 ,2.0,170,4.0,4.0,15.0
95,Faeroe Islands,,1.0,,Mar 03 ,3.0,169,,74.0,3459.0
161,Ivory Coast,0.04,,,Mar 10 ,,168,1.0,6.0,6.0
135,Senegal,,,,Mar 01 ,,162,,27.0,10.0
149,Uzbekistan,0.06,9.0,,Mar 14 ,8.0,158,2.0,7.0,5.0
154,Malta,,,,Mar 06 ,4.0,156,,2.0,353.0
145,Ghana,0.2,,,Mar 11 ,1.0,152,5.0,2.0,5.0
105,Belarus,,,,Feb 27 ,2.0,152,,47.0,16.0
131,Honduras,0.7,2.0,,Mar 10 ,4.0,141,7.0,3.0,14.0
138,Channel Islands,17.0,,1.0,Mar 08 ,,141,3.0,,811.0
93,Venezuela,0.1,,,Mar 12 ,6.0,135,3.0,39.0,5.0
121,Nigeria,0.01,,,Feb 27 ,,131,2.0,8.0,0.6
125,Mauritius,2.0,,,Mar 17 ,1.0,128,3.0,,101.0
88,Brunei ,2.0,,,Mar 08 ,3.0,127,1.0,38.0,290.0
104,Sri Lanka,0.09,,,Jan 26 ,5.0,122,2.0,16.0,6.0
98,Palestine,0.2,,,Mar 04 ,,117,1.0,18.0,23.0
87,Georgia,,5.0,,Feb 25 ,6.0,108,,21.0,27.0
101,Bolivia,0.5,10.0,2.0,Mar 09 ,3.0,107,6.0,,9.0
86,Cambodia,,,,Jan 26 ,1.0,107,,21.0,6.0
104,Kyrgyzstan,,13.0,,Mar 17 ,,107,,3.0,16.0
85,Guadeloupe,10.0,,,Mar 12 ,10.0,106,4.0,17.0,265.0
104,Montenegro,2.0,14.0,,Mar 16 ,1.0,105,1.0,,167.0
92,Martinique,3.0,,,Mar 04 ,12.0,93,1.0,,248.0
81,Trinidad and Tobago,2.0,2.0,,Mar 11 ,,85,3.0,1.0,61.0
72,Mayotte,,,,Mar 13 ,3.0,82,,10.0,301.0
71,DRC,0.09,,,Mar 09 ,,81,8.0,2.0,0.9
70,Rwanda,,,,Mar 13 ,,70,,,5.0
35,Gibraltar,,,,Mar 02 ,,69,,34.0,2048.0
61,Paraguay,0.4,1.0,,Mar 06 ,3.0,65,3.0,1.0,9.0
64,Liechtenstein,,2.0,,Mar 02 ,,64,,,1679.0
48,Kenya,0.02,,,Mar 12 ,2.0,50,1.0,1.0,0.9
49,Aruba,,,,Mar 12 ,,50,,1.0,468.0
25,Bangladesh,0.03,,,Mar 07 ,1.0,49,5.0,19.0,0.3
47,Monaco,25.0,,,Feb 27 ,,49,1.0,1.0,1249.0
49,Isle of Man,,,,Mar 18 ,,49,,,576.0
46,Madagascar,,3.0,,Mar 19 ,6.0,46,,,2.0
37,French Guiana,,,,Mar 06 ,,43,,6.0,144.0
28,Macao,,,,Jan 21 ,,38,,10.0,59.0
25,Guatemala,0.06,,,Mar 12 ,1.0,36,1.0,10.0,2.0
33,Jamaica,0.3,,,Mar 09 ,,36,1.0,2.0,12.0
36,French Polynesia,,,,Mar 10 ,2.0,36,,,128.0
35,Zambia,,,,Mar 17 ,,35,,,2.0
34,Barbados,,1.0,,Mar 16 ,,34,,,118.0
33,Uganda,,,,Mar 20 ,,33,,,0.7
32,El Salvador,,2.0,,Mar 18 ,5.0,32,,,5.0
28,Togo,0.1,,,Mar 05 ,,30,1.0,1.0,4.0
24,Niger,0.1,,,Mar 18 ,,27,3.0,,1.0
25,Bermuda,,,,Mar 17 ,,27,,2.0,434.0
23,Mali,0.1,,,Mar 24 ,,25,2.0,,1.0
19,Ethiopia,,,,Mar 12 ,1.0,23,,4.0,0.2
22,Guinea,,,,Mar 12 ,,22,,,2.0
17,Tanzania,0.02,,1.0,Mar 15 ,,19,1.0,1.0,0.3
19,Congo,,,,Mar 14 ,,19,,,3.0
18,Djibouti,,,,Mar 17 ,,18,,,18.0
5,Maldives,,1.0,,Mar 06 ,,18,,13.0,33.0
15,Gabon,0.4,9.0,,Mar 12 ,,16,1.0,,7.0
12,Saint Martin,26.0,,,Feb 29 ,,15,1.0,2.0,388.0
15,Eritrea,,,,Mar 20 ,,15,,,4.0
14,Haiti,,,,Mar 19 ,,15,,1.0,1.0
15,New Caledonia,,,,Mar 17 ,,15,,,53.0
13,Myanmar,0.02,,1.0,Mar 22 ,,14,1.0,,0.3
13,Bahamas,,,,Mar 14 ,,14,,1.0,36.0
11,Cayman Islands,15.0,,,Mar 12 ,,12,1.0,,183.0
12,Dominica,,,,Mar 21 ,,12,,,167.0
12,Equatorial Guinea,,,,Mar 13 ,,12,,,9.0
10,Mongolia,,,,Mar 09 ,,12,,2.0,4.0
8,Curaçao,6.0,,,Mar 12 ,,11,1.0,2.0,67.0
9,Namibia,,,,Mar 13 ,,11,,2.0,4.0
8,Syria,0.1,,,Mar 21 ,,10,2.0,,0.6
8,Greenland,,,,Mar 15 ,,10,,2.0,176.0
10,Seychelles,,2.0,,Mar 13 ,,10,,,102.0
9,Grenada,,,,Mar 21 ,,9,,,80.0
9,Laos,,1.0,,Mar 23 ,,9,,,1.0
8,Saint Lucia,,,,Mar 12 ,,9,,1.0,49.0
9,Eswatini,,,,Mar 13 ,,9,,,8.0
7,Guyana,1.0,,,Mar 11 ,,8,1.0,,10.0
7,Zimbabwe,0.07,1.0,,Mar 19 ,,8,1.0,,0.5
8,Guinea-Bissau,,,,Mar 24 ,,8,,,4.0
8,Libya,,,,Mar 23 ,,8,,,1.0
8,Mozambique,,,,Mar 21 ,,8,,,0.3
8,Suriname,,,,Mar 12 ,,8,,,14.0
4,Angola,0.06,,,Mar 19 ,,7,2.0,1.0,0.2
7,Antigua and Barbuda,,,,Mar 12 ,,7,,,71.0
7,Saint Kitts and Nevis,,,,Mar 24  ,,7,,,132.0
4,Sudan,0.05,,,Mar 12 ,,6,2.0,,0.1
5,Cabo Verde,2.0,,,Mar 19 ,,6,1.0,,11.0
3,Mauritania,0.2,,,Mar 12 ,,6,1.0,2.0,1.0
6,Benin,,,,Mar 15 ,,6,,,0.5
6,Vatican City,,,,Mar 05 ,,6,,,7491.0
5,St. Barth,,,,Feb 29 ,,6,,1.0,607.0
6,Sint Maarten,,,,Mar 17 ,,6,,,140.0
4,Nepal,,,,Jan 23 ,,5,,1.0,0.2
5,Chad,,,,Mar 18 ,,5,,,0.3
5,Fiji,,,,Mar 18 ,,5,,,6.0
5,Montserrat,,,,Mar 17 ,,5,,,1002.0
5,Turks and Caicos,,,,Mar 22 ,,5,,,129.0
3,Gambia,0.4,,,Mar 16 ,,4,1.0,,2.0
3,Nicaragua,0.2,,,Mar 18 ,,4,1.0,,0.6
4,Bhutan,,,,Mar 05 ,,4,,,5.0
3,Belize,,,,Mar 22 ,,3,,,8.0
3,Botswana,,,,Mar 29 ,,3,,,1.0
3,British Virgin Islands,,1.0,,Mar 24 ,,3,,,99.0
3,CAR,,,,Mar 14 ,,3,,,0.6
3,Liberia,,,,Mar 15 ,,3,,,0.6
2,Somalia,,,,Mar 15 ,,3,,1.0,0.2
2,MS Zaandam,,,,Mar 26 ,,2,,,
2,Anguilla,,,,Mar 25 ,,2,,,133.0
1,Papua New Guinea,,,,Mar 19 ,,1,,,0.1
0,St. Vincent Grenadines,,,,Mar 10 ,,1,,1.0,9.0
1,Timor-Leste,,,,Mar 20 ,,1,,,0.8
2161,China,2.0,79.0,5.0,Jan 10 ,528.0,81518,3305.0,76052.0,57.0
