ActiveCases,Country,Deathsper1Mpop,NewCases,NewDeaths,"Serious,Critical",Testsper1Mpop,TotalCases,TotalDeaths,TotalRecovered,TotalTests,TotCasesper1Mpop
829727,World,7.6,1285.0,43.0,39394.0,0.0,1117928,59201.0,229000.0,0.0,143.0
257790,USA,22.0,314.0,10.0,5787.0,4094.0,277475,7402.0,12283.0,1355091.0,838.0
85388,Italy,243.0,0.0,0.0,4068.0,10252.0,119827,14681.0,19758.0,619849.0,1982.0
77488,Spain,240.0,0.0,0.0,6416.0,7593.0,119199,11198.0,30513.0,355000.0,2549.0
65309,Germany,15.0,0.0,0.0,3936.0,10962.0,91159,1275.0,24575.0,918460.0,1088.0
61650,France,100.0,0.0,0.0,6662.0,3436.0,82165,6507.0,14008.0,224254.0,1259.0
31954,Iran,39.0,0.0,0.0,4035.0,952.0,53183,3294.0,17935.0,80000.0,633.0
34428,UK,53.0,0.0,0.0,163.0,2560.0,38168,3605.0,135.0,173784.0,562.0
20012,Turkey,5.0,0.0,0.0,1251.0,1680.0,20921,425.0,484.0,141716.0,248.0
14169,Switzerland,68.0,0.0,0.0,348.0,16099.0,19606,591.0,4846.0,139330.0,2265.0
12755,Belgium,99.0,0.0,0.0,1205.0,5424.0,16770,1143.0,2872.0,62867.0,1447.0
13986,Netherlands,87.0,0.0,0.0,1324.0,2732.0,15723,1487.0,250.0,46810.0,918.0
10155,Canada,6.0,174.0,0.0,120.0,8021.0,12549,208.0,2186.0,302745.0,332.0
9334,Austria,19.0,0.0,0.0,245.0,10919.0,11524,168.0,2022.0,98343.0,1280.0
3654,S. Korea,3.0,94.0,3.0,55.0,8875.0,10156,177.0,6325.0,455032.0,198.0
9572,Portugal,24.0,0.0,0.0,245.0,5108.0,9886,246.0,68.0,52086.0,970.0
8724,Brazil,2.0,22.0,2.0,296.0,258.0,9216,365.0,127.0,54824.0,43.0
6985,Israel,5.0,0.0,0.0,113.0,10443.0,7428,40.0,403.0,90394.0,858.0
5568,Sweden,35.0,0.0,0.0,469.0,3654.0,6131,358.0,205.0,36900.0,607.0
4839,Australia,1.0,0.0,2.0,85.0,10877.0,5454,30.0,585.0,277355.0,214.0
5279,Norway,11.0,0.0,0.0,96.0,18812.0,5370,59.0,32.0,101986.0,991.0
4128,Ireland,24.0,0.0,0.0,148.0,6119.0,4273,120.0,25.0,30213.0,865.0
4065,Czechia,5.0,0.0,0.0,77.0,6283.0,4190,53.0,72.0,67281.0,391.0
3834,Russia,0.2,0.0,0.0,8.0,3940.0,4149,34.0,281.0,575000.0,28.0
2425,Denmark,24.0,0.0,0.0,153.0,7055.0,3757,139.0,1193.0,40863.0,649.0
3288,Chile,1.0,0.0,0.0,31.0,1838.0,3737,22.0,427.0,35142.0,195.0
3256,Poland,2.0,0.0,0.0,50.0,1769.0,3383,71.0,56.0,66938.0,89.0
3158,Ecuador,8.0,0.0,0.0,100.0,585.0,3368,145.0,65.0,10317.0,191.0
2453,Malaysia,2.0,0.0,0.0,108.0,1474.0,3333,53.0,827.0,47723.0,103.0
2767,Romania,7.0,0.0,0.0,83.0,1646.0,3183,133.0,283.0,31657.0,165.0
2767,India,0.06,23.0,0.0,0.0,84.0,3082,86.0,229.0,116608.0,2.0
2830,Philippines,1.0,0.0,0.0,1.0,48.0,3018,136.0,52.0,5265.0,28.0
2352,Japan,0.5,0.0,0.0,60.0,312.0,2935,69.0,514.0,39446.0,23.0
2538,Pakistan,0.2,22.0,0.0,13.0,137.0,2708,40.0,130.0,30308.0,12.0
2081,Luxembourg,50.0,0.0,0.0,33.0,34287.0,2612,31.0,500.0,21463.0,4173.0
1435,Thailand,0.3,89.0,1.0,23.0,339.0,2067,20.0,612.0,23669.0,30.0
1663,Saudi Arabia,0.7,0.0,0.0,41.0,0.0,2039,25.0,351.0,0.0,59.0
1671,Indonesia,0.7,0.0,0.0,0.0,26.0,1986,181.0,134.0,7193.0,7.0
995,Mexico,0.5,178.0,10.0,1.0,122.0,1688,60.0,633.0,15668.0,13.0
1622,Panama,10.0,0.0,0.0,50.0,1700.0,1673,41.0,10.0,7333.0,388.0
1295,Finland,4.0,0.0,0.0,72.0,4783.0,1615,20.0,300.0,26500.0,291.0
1472,Greece,6.0,0.0,0.0,92.0,2153.0,1613,63.0,78.0,22437.0,155.0
997,Peru,2.0,0.0,0.0,51.0,501.0,1595,61.0,537.0,16518.0,48.0
1401,South Africa,0.2,0.0,0.0,7.0,849.0,1505,9.0,95.0,50361.0,25.0
1404,Dominican Republic,6.0,0.0,0.0,147.0,387.0,1488,68.0,16.0,4200.0,137.0
1383,Serbia,4.0,0.0,0.0,81.0,659.0,1476,39.0,54.0,5756.0,169.0
1051,Iceland,12.0,0.0,0.0,12.0,65042.0,1364,4.0,309.0,22195.0,3997.0
1045,Argentina,0.9,0.0,0.0,0.0,163.0,1353,42.0,266.0,7385.0,30.0
1187,Colombia,0.5,0.0,0.0,50.0,417.0,1267,25.0,55.0,21202.0,25.0
1147,UAE,0.9,0.0,0.0,2.0,22244.0,1264,9.0,108.0,220000.0,128.0
1004,Algeria,2.0,0.0,0.0,0.0,77.0,1171,105.0,62.0,3359.0,27.0
826,Singapore,1.0,0.0,1.0,24.0,6666.0,1114,6.0,282.0,39000.0,190.0
979,Croatia,2.0,0.0,0.0,39.0,2034.0,1079,8.0,92.0,8352.0,263.0
979,Qatar,1.0,0.0,0.0,37.0,9862.0,1075,3.0,93.0,28413.0,373.0
1023,Ukraine,0.6,0.0,0.0,16.0,101.0,1072,27.0,22.0,4404.0,25.0
703,Egypt,0.6,0.0,0.0,0.0,244.0,985,66.0,216.0,25000.0,10.0
901,Estonia,9.0,0.0,0.0,16.0,13788.0,961,12.0,48.0,18290.0,724.0
822,New Zealand,0.2,82.0,0.0,1.0,6867.0,950,1.0,127.0,33116.0,197.0
844,Slovenia,10.0,0.0,0.0,31.0,12468.0,934,20.0,70.0,25921.0,449.0
668,Hong Kong,0.5,0.0,0.0,8.0,12005.0,845,4.0,173.0,90000.0,113.0
540,Iraq,1.0,0.0,0.0,0.0,0.0,820,54.0,226.0,0.0,20.0
686,Morocco,1.0,0.0,0.0,1.0,106.0,791,48.0,57.0,3910.0,21.0
755,Lithuania,3.0,75.0,0.0,11.0,6771.0,771,9.0,7.0,18432.0,283.0
686,Armenia,2.0,0.0,0.0,30.0,1348.0,736,7.0,43.0,3994.0,248.0
82,Diamond Princess,0.0,0.0,0.0,10.0,0.0,712,11.0,619.0,0.0,0.0
588,Hungary,3.0,55.0,6.0,17.0,2011.0,678,32.0,58.0,19424.0,70.0
286,Bahrain,2.0,0.0,0.0,3.0,22330.0,672,4.0,382.0,37996.0,395.0
557,Moldova,2.0,0.0,0.0,65.0,42.0,591,8.0,26.0,169.0,147.0
535,Bosnia and Herzegovina,5.0,0.0,0.0,4.0,1431.0,579,17.0,27.0,4696.0,176.0
484,Cameroon,0.3,0.0,0.0,0.0,0.0,509,8.0,17.0,0.0,19.0
441,Lebanon,2.0,0.0,0.0,26.0,1147.0,508,17.0,50.0,7828.0,74.0
461,Kazakhstan,0.2,36.0,1.0,6.0,17.0,500,4.0,35.0,316.0,27.0
472,Tunisia,2.0,0.0,0.0,26.0,485.0,495,18.0,5.0,5736.0,42.0
491,Latvia,0.5,0.0,0.0,3.0,9648.0,493,1.0,1.0,18198.0,261.0
441,Bulgaria,2.0,0.0,0.0,21.0,81.0,485,14.0,30.0,566.0,70.0
439,Slovakia,0.2,0.0,0.0,3.0,2151.0,450,1.0,10.0,11742.0,82.0
406,Azerbaijan,0.5,0.0,0.0,7.0,3452.0,443,5.0,32.0,35000.0,44.0
407,Andorra,207.0,0.0,0.0,12.0,0.0,439,16.0,16.0,0.0,5682.0
398,North Macedonia,6.0,0.0,0.0,8.0,2163.0,430,12.0,20.0,4506.0,206.0
334,Kuwait,0.2,0.0,1.0,16.0,0.0,417,1.0,82.0,0.0,98.0
403,Costa Rica,0.4,0.0,0.0,13.0,755.0,416,2.0,11.0,3845.0,82.0
357,Cyprus,9.0,0.0,0.0,11.0,7825.0,396,11.0,28.0,9447.0,328.0
296,Uruguay,1.0,0.0,0.0,13.0,1378.0,386,4.0,86.0,4786.0,111.0
294,Belarus,0.4,0.0,0.0,11.0,3386.0,351,4.0,53.0,32000.0,37.0
293,Taiwan,0.2,0.0,0.0,0.0,1451.0,348,5.0,50.0,34557.0,15.0
281,Réunion,0.0,0.0,0.0,3.0,0.0,321,0.0,40.0,0.0,359.0
247,Jordan,0.5,0.0,0.0,5.0,23.0,310,5.0,58.0,239.0,30.0
198,Albania,6.0,0.0,0.0,7.0,706.0,304,17.0,89.0,2031.0,106.0
236,Burkina Faso,0.8,0.0,0.0,0.0,0.0,302,16.0,50.0,0.0,14.0
283,Afghanistan,0.2,18.0,0.0,0.0,0.0,299,6.0,10.0,0.0,8.0
248,Cuba,0.5,0.0,0.0,8.0,295.0,269,6.0,15.0,3342.0,24.0
246,Honduras,2.0,42.0,0.0,10.0,0.0,264,15.0,3.0,0.0,27.0
194,Oman,0.2,0.0,0.0,3.0,0.0,252,1.0,57.0,0.0,49.0
193,San Marino,943.0,0.0,0.0,13.0,17270.0,251,32.0,26.0,586.0,7397.0
154,Vietnam,0.0,0.0,0.0,3.0,775.0,239,0.0,85.0,75458.0,2.0
215,Channel Islands,23.0,0.0,0.0,0.0,0.0,232,4.0,13.0,0.0,1334.0
200,Uzbekistan,0.06,0.0,0.0,8.0,0.0,227,2.0,25.0,0.0,7.0
198,Ivory Coast,0.04,0.0,0.0,0.0,0.0,218,1.0,19.0,0.0,8.0
181,Nigeria,0.02,0.0,0.0,0.0,0.0,210,4.0,25.0,0.0,1.0
140,Senegal,0.06,0.0,0.0,1.0,12.0,207,1.0,66.0,195.0,12.0
169,Ghana,0.2,0.0,0.0,2.0,0.0,205,5.0,31.0,0.0,7.0
200,Malta,0.0,0.0,0.0,2.0,20480.0,202,0.0,2.0,9043.0,457.0
172,Palestine,0.2,0.0,0.0,0.0,1481.0,194,1.0,21.0,7553.0,38.0
179,Mauritius,6.0,0.0,0.0,1.0,0.0,186,7.0,0.0,0.0,146.0
88,Faeroe Islands,0.0,0.0,0.0,1.0,95225.0,179,0.0,91.0,4653.0,3663.0
171,Montenegro,3.0,0.0,0.0,4.0,1899.0,174,2.0,1.0,1193.0,277.0
130,Sri Lanka,0.2,0.0,1.0,5.0,0.0,159,5.0,24.0,0.0,7.0
127,Georgia,0.0,0.0,0.0,6.0,0.0,155,0.0,28.0,0.0,39.0
94,Venezuela,0.2,0.0,0.0,6.0,63.0,153,7.0,52.0,1779.0,5.0
129,DRC,0.2,0.0,0.0,0.0,0.0,148,16.0,3.0,0.0,2.0
137,Kyrgyzstan,0.2,14.0,0.0,5.0,1474.0,144,1.0,6.0,9618.0,22.0
113,Martinique,8.0,0.0,0.0,18.0,0.0,143,3.0,27.0,0.0,381.0
128,Bolivia,0.9,7.0,1.0,3.0,51.0,139,10.0,1.0,591.0,12.0
68,Brunei ,2.0,0.0,0.0,3.0,17295.0,134,1.0,65.0,7566.0,306.0
99,Guadeloupe,17.0,0.0,0.0,14.0,0.0,130,7.0,24.0,0.0,325.0
116,Mayotte,7.0,0.0,0.0,3.0,1756.0,128,2.0,10.0,479.0,469.0
114,Kenya,0.07,0.0,0.0,2.0,41.0,122,4.0,4.0,2201.0,2.0
115,Niger,0.2,0.0,0.0,0.0,154.0,120,5.0,0.0,3729.0,5.0
113,Isle of Man,12.0,0.0,0.0,0.0,14465.0,114,1.0,0.0,1230.0,1341.0
64,Cambodia,0.0,0.0,0.0,1.0,345.0,114,0.0,50.0,5768.0,7.0
93,Trinidad and Tobago,4.0,2.0,0.0,0.0,516.0,100,6.0,1.0,722.0,71.0
81,Paraguay,0.4,4.0,0.0,2.0,16.0,96,3.0,12.0,116.0,13.0
49,Gibraltar,0.0,0.0,0.0,0.0,33718.0,95,0.0,46.0,1136.0,2820.0
89,Rwanda,0.0,0.0,0.0,0.0,0.0,89,0.0,0.0,0.0,7.0
75,Liechtenstein,0.0,0.0,0.0,0.0,23605.0,75,0.0,0.0,900.0,1967.0
71,Guinea,0.0,0.0,0.0,0.0,0.0,73,0.0,2.0,0.0,6.0
70,Madagascar,0.0,0.0,0.0,6.0,0.0,70,0.0,0.0,0.0,3.0
60,Monaco,25.0,0.0,0.0,2.0,0.0,64,1.0,3.0,0.0,1631.0
61,Aruba,0.0,0.0,0.0,0.0,7830.0,62,0.0,1.0,836.0,581.0
29,Bangladesh,0.04,0.0,0.0,1.0,13.0,61,6.0,26.0,2086.0,0.4
35,French Guiana,0.0,0.0,0.0,1.0,0.0,57,0.0,22.0,0.0,191.0
53,El Salvador,0.5,10.0,0.0,4.0,0.0,56,3.0,0.0,0.0,9.0
43,Jamaica,1.0,0.0,0.0,0.0,149.0,53,3.0,7.0,442.0,18.0
51,Barbados,0.0,0.0,0.0,0.0,1329.0,51,0.0,0.0,382.0,177.0
37,Guatemala,0.06,0.0,0.0,1.0,0.0,50,1.0,12.0,0.0,3.0
41,Djibouti,0.0,0.0,0.0,0.0,0.0,49,0.0,8.0,0.0,50.0
48,Uganda,0.0,0.0,0.0,0.0,0.0,48,0.0,0.0,0.0,1.0
32,Macao,0.0,0.0,0.0,0.0,0.0,42,0.0,10.0,0.0,65.0
20,Togo,0.4,0.0,0.0,0.0,0.0,40,3.0,17.0,0.0,5.0
36,Mali,0.1,0.0,0.0,0.0,0.0,39,3.0,0.0,0.0,2.0
36,Zambia,0.05,0.0,0.0,0.0,34.0,39,1.0,2.0,619.0,2.0
39,French Polynesia,0.0,0.0,0.0,1.0,1972.0,39,0.0,0.0,554.0,139.0
21,Bermuda,0.0,0.0,0.0,0.0,4368.0,35,0.0,14.0,272.0,562.0
32,Ethiopia,0.0,0.0,0.0,2.0,11.0,35,0.0,3.0,1222.0,0.3
27,Cayman Islands,15.0,0.0,0.0,0.0,4032.0,29,1.0,1.0,265.0,441.0
21,Bahamas,8.0,0.0,0.0,1.0,0.0,24,3.0,0.0,0.0,61.0
19,Guyana,5.0,0.0,0.0,0.0,106.0,23,4.0,0.0,83.0,29.0
13,Sint Maarten,93.0,0.0,0.0,0.0,1912.0,23,4.0,6.0,82.0,536.0
18,Congo,0.4,0.0,0.0,0.0,0.0,22,2.0,2.0,0.0,4.0
19,Saint Martin,26.0,0.0,0.0,0.0,466.0,22,1.0,2.0,18.0,569.0
22,Eritrea,0.0,0.0,0.0,0.0,0.0,22,0.0,0.0,0.0,6.0
19,Gabon,0.4,0.0,0.0,0.0,0.0,21,1.0,1.0,0.0,9.0
19,Myanmar,0.02,0.0,0.0,0.0,0.0,20,1.0,0.0,0.0,0.4
16,Tanzania,0.02,0.0,0.0,0.0,0.0,20,1.0,3.0,0.0,0.3
6,Maldives,0.0,0.0,0.0,0.0,0.0,19,0.0,13.0,0.0,35.0
17,Haiti,0.0,0.0,0.0,0.0,18.0,18,0.0,1.0,200.0,2.0
17,New Caledonia,0.0,0.0,0.0,0.0,4869.0,18,0.0,1.0,1390.0,63.0
16,Libya,0.1,0.0,0.0,0.0,19.0,17,1.0,0.0,131.0,2.0
14,Syria,0.1,0.0,0.0,0.0,0.0,16,2.0,0.0,0.0,0.9
14,Benin,0.0,0.0,0.0,0.0,0.0,16,0.0,2.0,0.0,1.0
15,Equatorial Guinea,0.0,0.0,0.0,0.0,0.0,16,0.0,1.0,0.0,11.0
15,Antigua and Barbuda,0.0,0.0,0.0,1.0,92.0,15,0.0,0.0,9.0,153.0
15,Guinea-Bissau,0.0,0.0,0.0,0.0,0.0,15,0.0,0.0,0.0,8.0
14,Dominica,0.0,0.0,0.0,0.0,0.0,14,0.0,0.0,0.0,194.0
12,Mongolia,0.0,0.0,0.0,0.0,0.0,14,0.0,2.0,0.0,4.0
11,Namibia,0.0,0.0,0.0,0.0,118.0,14,0.0,3.0,301.0,6.0
12,Saint Lucia,0.0,0.0,0.0,0.0,0.0,13,0.0,1.0,0.0,71.0
12,Fiji,0.0,5.0,0.0,0.0,0.0,12,0.0,0.0,0.0,13.0
12,Grenada,0.0,0.0,0.0,2.0,400.0,12,0.0,0.0,45.0,107.0
7,Curaçao,6.0,0.0,0.0,0.0,0.0,11,1.0,3.0,0.0,67.0
6,Sudan,0.05,0.0,0.0,0.0,0.0,10,2.0,2.0,0.0,0.2
9,Suriname,2.0,0.0,0.0,0.0,0.0,10,1.0,0.0,0.0,17.0
7,Greenland,0.0,0.0,0.0,0.0,9547.0,10,0.0,3.0,542.0,176.0
10,Laos,0.0,0.0,0.0,0.0,60.0,10,0.0,0.0,437.0,1.0
10,Mozambique,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.3
10,Seychelles,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,102.0
7,MS Zaandam,0.0,0.0,0.0,0.0,0.0,9,2.0,0.0,0.0,0.0
8,Zimbabwe,0.07,0.0,0.0,0.0,21.0,9,1.0,0.0,316.0,0.6
9,Saint Kitts and Nevis,0.0,0.0,0.0,0.0,2124.0,9,0.0,0.0,113.0,169.0
9,Eswatini,0.0,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,8.0
5,Angola,0.06,0.0,0.0,0.0,0.0,8,2.0,1.0,0.0,0.2
8,CAR,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0,0.0,2.0
8,Chad,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0,0.0,0.5
7,Vatican City,0.0,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,8739.0
7,Liberia,0.0,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,1.0
6,St. Vincent Grenadines,0.0,0.0,0.0,0.0,0.0,7,0.0,1.0,0.0,63.0
6,Somalia,0.0,0.0,0.0,0.0,0.0,7,0.0,1.0,0.0,0.4
5,Cabo Verde,2.0,0.0,0.0,0.0,0.0,6,1.0,0.0,0.0,11.0
3,Mauritania,0.2,0.0,0.0,0.0,0.0,6,1.0,2.0,0.0,1.0
5,Nepal,0.0,0.0,0.0,0.0,41.0,6,0.0,1.0,1185.0,0.2
6,Montserrat,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,1202.0
5,St. Barth,0.0,0.0,0.0,0.0,0.0,6,0.0,1.0,0.0,607.0
4,Nicaragua,0.2,0.0,0.0,0.0,0.0,5,1.0,0.0,0.0,0.8
3,Bhutan,0.0,0.0,0.0,0.0,0.0,5,0.0,2.0,0.0,6.0
5,Turks and Caicos,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,129.0
3,Botswana,0.4,0.0,0.0,0.0,74.0,4,1.0,0.0,175.0,2.0
1,Gambia,0.4,0.0,0.0,0.0,0.0,4,1.0,2.0,0.0,2.0
4,Belize,0.0,0.0,0.0,0.0,63.0,4,0.0,0.0,25.0,10.0
3,Anguilla,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,200.0
3,British Virgin Islands,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,99.0
3,Burundi,0.0,0.0,0.0,0.0,0.2,3,0.0,0.0,2.0,0.3
3,Malawi,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.2
2,Caribbean Netherlands,0.0,0.0,0.0,0.0,381.0,2,0.0,0.0,10.0,76.0
2,Sierra Leone,0.0,0.0,0.0,0.0,0.3,2,0.0,0.0,2.0,0.3
1,Falkland Islands,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,287.0
1,Papua New Guinea,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.1
1,Timor-Leste,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.8
1558,China,2.0,19.0,4.0,331.0,0.0,81639,3326.0,76755.0,0.0,57.0
829727,World,7.6,1285.0,43.0,39394.0,0.0,1117928,59201.0,229000.0,0.0,143.4
