ActiveCases,Continent,Country,Deathsper1Mpop,NewCases,NewDeaths,Serious_Critical,Testsper1Mpop,TotalCases,TotalDeaths,TotalRecovered,TotalTests,TotCasesper1Mpop
598203,North America,North America,,737.0,73.0,14595.0,,689381,30450.0,60728.0,,
620473,Europe,Europe,,566.0,17.0,28603.0,,971323,88336.0,262514.0,,
161003,Asia,Asia,,567.0,23.0,6462.0,,333764,12091.0,160670.0,,
38468,South America,South America,,359.0,4.0,1218.0,,63661,2801.0,22392.0,,
3410,Australia/Oceania,Oceania,,31.0,,81.0,,7955,72.0,4473.0,,
13053,Africa,Africa,,1.0,,178.0,,17828,913.0,3862.0,,
1434673,All,World,17.3,2261.0,117.0,51144.0,,2084633,134677.0,515283.0,,267.0
567086,North America,USA,86.0,259.0,25.0,13487.0,9845.0,644348,28554.0,48708.0,3258879.0,1947.0
90994,Europe,Spain,402.0,,,7371.0,13918.0,180659,18812.0,70853.0,650755.0,3864.0
105418,Europe,Italy,358.0,,,3079.0,18481.0,165155,21645.0,38092.0,1117404.0,2732.0
99741,Europe,France,263.0,,,6457.0,5114.0,147863,17167.0,30955.0,333807.0,2265.0
53949,Europe,Germany,45.0,,,4288.0,20629.0,134753,3804.0,77000.0,1728357.0,1608.0
85264,Europe,UK,190.0,,,1559.0,5876.0,98476,12868.0,0.0,398916.0,1451.0
21679,Asia,Iran,57.0,,,3643.0,3562.0,76389,4777.0,49933.0,299204.0,909.0
62200,Asia,Turkey,18.0,,,1820.0,5664.0,69392,1518.0,5674.0,477716.0,823.0
22026,Europe,Belgium,383.0,,,1204.0,11056.0,33573,4440.0,7107.0,128132.0,2897.0
13126,South America,Brazil,8.0,302.0,3.0,296.0,296.0,28912,1760.0,14026.0,62985.0,136.0
18390,North America,Canada,27.0,,,557.0,12393.0,28379,1010.0,8979.0,467736.0,752.0
24769,Europe,Netherlands,183.0,,,1279.0,8220.0,28153,3134.0,250.0,140845.0,1643.0
9697,Europe,Switzerland,143.0,,,386.0,22993.0,26336,1239.0,15400.0,199000.0,3043.0
22306,Europe,Russia,1.0,,,8.0,10402.0,24490,198.0,1986.0,1517992.0,168.0
17109,Europe,Portugal,59.0,,,208.0,20430.0,18091,599.0,383.0,208314.0,1774.0
5879,Europe,Austria,44.0,20.0,,232.0,17410.0,14370,393.0,8098.0,156801.0,1596.0
12026,Europe,Ireland,90.0,,,158.0,18358.0,12547,444.0,77.0,90646.0,2541.0
9806,Asia,Israel,15.0,,2.0,180.0,21634.0,12501,132.0,2563.0,187250.0,1444.0
10520,Asia,India,0.3,86.0,1.0,,199.0,12456,423.0,1513.0,274599.0,9.0
10343,Europe,Sweden,119.0,,,954.0,7387.0,11927,1203.0,381.0,74600.0,1181.0
8113,South America,Peru,8.0,,,146.0,3318.0,11475,254.0,3108.0,109385.0,348.0
2627,Asia,S. Korea,4.0,22.0,4.0,55.0,10509.0,10613,229.0,7757.0,538775.0,207.0
7547,Asia,Japan,1.0,,,168.0,745.0,8626,178.0,901.0,94236.0,68.0
5242,South America,Chile,5.0,,,389.0,4806.0,8273,94.0,2937.0,91873.0,433.0
6690,South America,Ecuador,22.0,,,135.0,1479.0,7858,388.0,780.0,26093.0,445.0
6628,Europe,Poland,8.0,,,160.0,4135.0,7582,286.0,668.0,156493.0,200.0
5627,Europe,Romania,19.0,,,245.0,3890.0,7216,372.0,1217.0,74827.0,375.0
6616,Europe,Norway,28.0,1.0,,64.0,24020.0,6798,150.0,32.0,130216.0,1254.0
3624,Europe,Denmark,53.0,,,89.0,13417.0,6681,309.0,2748.0,77712.0,1153.0
4736,Asia,Pakistan,0.6,122.0,13.0,46.0,358.0,6505,124.0,1645.0,78979.0,29.0
2697,Australia/Oceania,Australia,2.0,15.0,,76.0,14785.0,6462,63.0,3702.0,377024.0,253.0
5316,Europe,Czechia,16.0,,,84.0,12856.0,6301,166.0,819.0,137672.0,588.0
4852,Asia,Saudi Arabia,2.0,,,71.0,4309.0,5862,79.0,931.0,150000.0,168.0
3273,North America,Mexico,3.0,448.0,43.0,207.0,311.0,5847,449.0,2125.0,40091.0,45.0
4751,Asia,Philippines,3.0,,,1.0,415.0,5453,349.0,353.0,45486.0,50.0
4298,Asia,UAE,3.0,,,1.0,77550.0,5365,33.0,1034.0,767000.0,542.0
4221,Asia,Indonesia,2.0,,,,132.0,5136,469.0,446.0,36000.0,19.0
2342,Asia,Malaysia,3.0,,,56.0,2694.0,5072,83.0,2647.0,87183.0,157.0
4374,Europe,Serbia,11.0,,,128.0,3008.0,4873,99.0,400.0,26278.0,558.0
3859,Europe,Ukraine,3.0,397.0,8.0,45.0,894.0,4161,116.0,186.0,39084.0,95.0
3573,North America,Panama,24.0,,,106.0,3906.0,3751,103.0,75.0,16854.0,869.0
3489,Europe,Belarus,4.0,,,68.0,8064.0,3728,36.0,203.0,76198.0,395.0
3298,Asia,Qatar,2.0,,,37.0,18911.0,3711,7.0,406.0,54484.0,1288.0
3037,Asia,Singapore,2.0,,,29.0,12423.0,3699,10.0,652.0,72680.0,632.0
3217,North America,Dominican Republic,17.0,,,143.0,855.0,3614,189.0,208.0,9275.0,333.0
2778,Europe,Luxembourg,110.0,,,33.0,49080.0,3373,69.0,526.0,30723.0,5388.0
2865,Europe,Finland,13.0,,,75.0,8813.0,3237,72.0,300.0,48828.0,584.0
2522,South America,Colombia,3.0,,,106.0,956.0,3105,131.0,452.0,48628.0,61.0
1033,Asia,Thailand,0.7,29.0,3.0,61.0,1440.0,2672,46.0,1593.0,100498.0,38.0
1863,South America,Argentina,2.0,,,117.0,539.0,2571,112.0,596.0,24374.0,57.0
2062,Africa,South Africa,0.6,,,7.0,1526.0,2506,34.0,410.0,90515.0,42.0
1733,Africa,Egypt,2.0,,,,244.0,2505,183.0,589.0,25000.0,24.0
1821,Europe,Greece,10.0,,,72.0,4871.0,2192,102.0,269.0,50771.0,210.0
